image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
20210419CPS.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20210419CPS.bmp,524,212,999,769,0,0.99979174,1280,1024
20210320HSC.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20210320HSC.bmp,205,171,805,775,0,0.983113,1280,1024
20180731KCW.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20180731KCW.bmp,465,362,792,635,0,0.95899403,1280,1024
20190706ZL.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20190706ZL.bmp,455,702,863,976,0,0.84219867,1280,1024
20201125CMT.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20201125CMT.bmp,256,481,670,787,0,0.90688014,1280,1024
20220607PCM.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220607PCM.jpg,1353,530,2918,2114,0,0.9995865,3840,2160
20220505 LML.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220505 LML.jpg,1248,346,2521,1826,0,0.99644023,3840,2160
20210423PSP.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20210423PSP.bmp,283,174,857,732,0,0.9981933,1280,1024
20210128WP.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20210128WP.bmp,216,175,653,678,0,0.997432,1280,1024
20181102MSF.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20181102MSF.bmp,591,555,879,831,0,0.8930394,1280,1024
20181019LOL.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20181019LOL.bmp,612,250,952,689,0,0.5204169,1280,1024
20211024LYY.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20211024LYY.jpg,1769,454,3184,1846,0,0.9985112,3840,2160
20180609CFY.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20180609CFY.bmp,219,348,520,616,0,0.9548943,1280,1024
20210313LWI.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20210313LWI.jpg,2183,0,2876,771,0,0.550536,3840,2160
20220430YMT.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220430YMT.jpg,1427,155,2644,1570,0,0.9876311,3840,2160
20190320LLC.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20190320LLC.bmp,442,160,840,654,0,0.9925555,1280,1024
20201020TWC.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20201020TWC.bmp,479,374,844,680,0,0.9415838,1280,1024
20210130CMY.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20210130CMY.bmp,372,22,683,544,0,0.921867,1280,1024
20211113KPL.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20211113KPL.jpg,1599,251,2842,2160,0,0.9994669,3840,2160
20191125CML.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20191125CML.bmp,705,197,982,761,0,0.65945244,1280,1024
20220708SLL.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220708SLL.jpg,1291,213,2130,1692,0,0.9664796,3840,2160
20200407CCY.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20200407CCY.bmp,705,418,1002,716,0,0.712026,1280,1024
20210812LCC.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20210812LCC.jpg,1080,264,2740,1917,0,0.99985385,3840,2160
20181113CSL.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20181113CSL.bmp,587,129,887,451,0,0.9085011,1280,1024
20211212CYY.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20211212CYY.jpg,1406,413,2658,1796,0,0.9977574,3840,2160
20201103LMW.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20201103LMW.bmp,466,176,870,663,0,0.9957791,1280,1024
20210921CKC.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20210921CKC.jpg,1320,123,2153,1788,0,0.97066057,3840,2160
20201229CNY.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20201229CNY.bmp,356,476,757,899,0,0.99781317,1280,1024
20180308QSB.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20180308QSB.bmp,292,474,657,775,0,0.85744655,1280,1024
20180801LSW.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20180801LSW.bmp,512,219,846,528,0,0.90264165,1280,1024
20190412LMK.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20190412LMK.bmp,605,176,962,576,0,0.7928419,1280,1024
20220618YMN.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220618YMN.jpg,1495,385,2664,1678,0,0.98871505,3840,2160
20200423CWY.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20200423CWY.bmp,688,431,1016,722,0,0.928491,1280,1024
20210719SA.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20210719SA.jpg,844,247,2804,2104,0,0.99871653,3840,2160
20190902KSH.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20190902KSH.bmp,411,349,741,641,0,0.9494388,1280,1024
20211022LSP.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20211022LSP.jpg,1161,431,2916,1883,0,0.9995806,3840,2160
20180325SCP.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20180325SCP.bmp,572,381,897,863,0,0.89870477,1280,1024
20190314LYF.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20190314LYF.bmp,300,271,661,578,0,0.8526143,1280,1024
20200424NPY.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20200424NPY.bmp,152,89,402,416,0,0.70865554,1280,1024
20220105CCY.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220105CCY.jpg,888,233,2183,1837,0,0.99929476,3840,2160
20200904WYY.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20200904WYY.bmp,182,468,533,767,0,0.9465544,1280,1024
20220508CMW.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220508CMW.jpg,1691,370,3261,1926,0,0.99971247,3840,2160
20220523LYF.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220523LYF.jpg,1080,272,3022,1506,0,0.99649405,3840,2160
20180816CKY.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20180816CKY.bmp,751,327,1066,815,0,0.89030844,1280,1024
20191028HPS.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20191028HPS.bmp,678,383,1067,673,0,0.9300352,1280,1024
20180521DS.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20180521DS.bmp,497,274,849,771,0,0.9405516,1280,1024
20201124ST.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20201124ST.bmp,479,449,911,760,0,0.8465478,1280,1024
20210919CHKS.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20210919CHKS.jpg,1284,241,2123,1665,0,0.974246,3840,2160
20210412HCYM.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20210412HCYM.bmp,233,251,835,841,0,0.9996178,1280,1024
20211218RMF.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20211218RMF.jpg,1045,333,2146,1635,0,0.9961371,3840,2160
20210702WHL.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20210702WHL.jpg,1180,0,2276,1613,0,0.9841247,3840,2160
20201030CSH.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20201030CSH.bmp,594,452,887,728,0,0.9140514,1280,1024
20201016CSF.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20201016CSF.bmp,618,406,921,739,0,0.90052086,1280,1024
20180814CG.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20180814CG.bmp,264,91,709,409,0,0.6519197,1280,1024
20211026WCL.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20211026WCL.jpg,1253,0,2928,2006,0,0.9926167,3840,2160
20220116RMF.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220116RMF.jpg,1515,67,2716,1305,0,0.9967418,3840,2160
20220611LLL.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220611LLL.jpg,645,239,2342,2103,0,0.9970304,3840,2160
20181111LSY.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20181111LSY.bmp,497,460,825,757,0,0.94245344,1280,1024
20220717HCL.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220717HCL.jpg,1116,49,2551,1407,0,0.9988343,3840,2160
20211201NKM.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20211201NKM.jpg,844,226,2019,1884,0,0.99938834,3840,2160
20211029LHK.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20211029LHK.jpg,1437,271,2450,1797,0,0.99212444,3840,2160
20191013LYY.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20191013LYY.bmp,392,334,779,657,0,0.8879361,1280,1024
20190718WYK.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20190718WYK.bmp,598,225,895,745,0,0.93349963,1280,1024
20190606XQ.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20190606XQ.bmp,341,382,763,759,0,0.9858424,1280,1024
20220615CYKC.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220615CYKC.jpg,1614,282,3153,1986,0,0.9985265,3840,2160
20190407LXP.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20190407LXP.bmp,297,258,611,550,0,0.9364494,1280,1024
20220412CYN.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220412CYN.jpg,1463,272,2530,1794,0,0.99376917,3840,2160
20201121TPK.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20201121TPK.bmp,442,393,839,707,0,0.46979544,1280,1024
20180327TSF.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20180327TSF.bmp,268,658,695,970,0,0.89256305,1280,1024
20210628BR.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20210628BR.jpg,1034,466,2398,1844,0,0.99931526,3840,2160
20200914LC.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20200914LC.bmp,507,348,826,640,0,0.9727449,1280,1024
20190103MSJ.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20190103MSJ.bmp,612,436,979,706,0,0.72779834,1280,1024
20211119CSF.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20211119CSF.jpg,1306,351,2444,1631,0,0.9978519,3840,2160
20180928CKM.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20180928CKM.bmp,376,212,686,673,0,0.8339881,1280,1024
20180510WNZ.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20180510WNZ.bmp,510,429,944,861,0,0.9791879,1280,1024
20201228LMY.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20201228LMY.bmp,310,273,740,744,0,0.99628043,1280,1024
20200917WMY.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20200917WMY.bmp,546,382,925,679,0,0.930565,1280,1024
20201225LWM.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20201225LWM.bmp,598,455,966,741,0,0.92580205,1280,1024
20220613LMY.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220613LMY.jpg,884,365,2292,1697,0,0.99927676,3840,2160
20210930LSM.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20210930LSM.jpg,1145,687,2349,2075,0,0.99361193,3840,2160
20220105WNY.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220105WNY.jpg,1329,306,2256,1591,0,0.7396558,3840,2160
20200521KKYK.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20200521KKYK.bmp,813,277,1173,606,0,0.7046124,1280,1024
20181231CYS.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20181231CYS.bmp,459,486,940,782,0,0.8970061,1280,1024
20210723WWY.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20210723WWY.jpg,1077,337,2215,1841,0,0.99890584,3840,2160
20220708LLC.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220708LLC.jpg,971,53,2193,1417,0,0.99844486,3840,2160
20190606SRS.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20190606SRS.bmp,253,371,597,652,0,0.9353107,1280,1024
20220616CLK.jpg,/mnt/louisayu/nfs_share2/embryo/rawdata/20220616CLK.jpg,1488,200,2555,1909,0,0.98379755,3840,2160
20190524HFL.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20190524HFL.bmp,589,264,967,587,0,0.9252891,1280,1024
20181105CYH.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20181105CYH.bmp,400,84,715,364,0,0.88009715,1280,1024
20191127WFK.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20191127WFK.bmp,263,353,692,668,0,0.9619362,1280,1024
20190307TWM.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20190307TWM.bmp,540,522,916,957,0,0.9593426,1280,1024
20201102SSKY.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20201102SSKY.bmp,508,239,805,527,0,0.92947364,1280,1024
20201112HSF.bmp,/mnt/louisayu/nfs_share2/embryo/rawdata/20201112HSF.bmp,367,353,781,705,0,0.9240605,1280,1024
